n_miast;pop;limit_pokolen;p_mut;p_cross;elite_pct;best_len;dl_na_miasto;best_gen;gen_run;seed;tolerancja;czas_s
80;800;100;0.2;0.8;0.03;10474.44;130.93;100;100;1;;493.109
80;800;100;0.2;0.8;0.03;9764.36;122.055;95;100;2;;499.969
80;800;100;0.2;0.8;0.03;10519.09;131.489;98;100;3;;507.031
80;800;100;0.2;0.8;0.03;11244.51;140.556;100;100;4;;514.156
80;800;100;0.2;0.8;0.03;11074.43;138.43;96;100;5;;521.0
80;800;100;0.2;0.8;0.05;10167.41;127.093;96;100;0;;523.938
80;800;100;0.2;0.8;0.05;10342.25;129.278;98;100;1;;527.172
80;800;100;0.2;0.8;0.05;10829.47;135.368;100;100;2;;532.219
80;800;100;0.2;0.8;0.05;9133.73;114.172;99;100;3;;534.562
80;800;100;0.2;0.8;0.05;10275.7;128.446;100;100;4;;536.828
80;800;100;0.2;0.8;0.05;11122.37;139.03;99;100;5;;539.531
80;800;100;0.2;0.8;0.1;9132.04;114.151;100;100;0;;542.359
80;800;100;0.2;0.8;0.1;9443.73;118.047;98;100;1;;545.25
80;800;100;0.2;0.8;0.1;10484.9;131.061;97;100;2;;548.203
80;800;100;0.2;0.8;0.1;8792.39;109.905;100;100;3;;550.922
80;800;100;0.2;0.8;0.1;8837.62;110.47;98;100;4;;553.422
80;800;100;0.2;0.8;0.1;10365.09;129.564;98;100;5;;556.344
80;800;100;0.2;0.8;1.3;16793.52;209.919;1;100;0;;558.125
80;800;100;0.2;0.8;1.3;15878.11;198.476;1;100;1;;560.141
80;800;100;0.2;0.8;1.3;16810.28;210.129;1;100;2;;562.0
80;800;100;0.2;0.8;1.3;15709.18;196.365;1;100;3;;563.859
80;800;100;0.2;0.8;1.3;17316.76;216.459;1;100;4;;565.562
80;800;100;0.2;0.8;1.3;16733.88;209.173;1;100;5;;567.422
80;800;100;0.4;0.6;0.0;13140.74;164.259;78;100;0;;569.953
80;800;100;0.4;0.6;0.0;14124.39;176.555;93;100;1;;572.656
80;800;100;0.4;0.6;0.0;14319.69;178.996;100;100;2;;575.047
80;800;100;0.4;0.6;0.0;13469.86;168.373;95;100;3;;577.266
80;800;100;0.4;0.6;0.0;14382.86;179.786;97;100;4;;579.797
80;800;100;0.4;0.6;0.0;13525.58;169.07;70;100;5;;582.172
80;800;100;0.4;0.6;0.03;10083.26;126.041;99;100;0;;584.625
80;800;100;0.4;0.6;0.03;10555.83;131.948;94;100;1;;587.203
80;800;100;0.4;0.6;0.03;10009.55;125.119;99;100;2;;589.672
80;800;100;0.4;0.6;0.03;10266.46;128.331;100;100;3;;592.484
80;800;100;0.4;0.6;0.03;10235.32;127.941;95;100;4;;595.234
