n_miast;pop;limit_pokolen;p_mut;p_cross;elite_pct;best_len;dl_na_miasto;best_gen;gen_run;seed;tolerancja;czas_s
80;800;100;0.0;1.0;0.0;14390.88;179.886;74;100;0;;140.062
80;800;100;0.0;1.0;0.0;14541.0;181.762;74;100;1;;145.75
80;800;100;0.0;1.0;0.0;15020.38;187.755;49;100;2;;149.469
80;800;100;0.0;1.0;0.0;13850.36;173.13;31;100;3;;153.422
80;800;100;0.0;1.0;0.0;15598.8;194.985;87;100;4;;157.234
80;800;100;0.0;1.0;0.0;15017.63;187.72;68;100;5;;161.547
80;800;100;0.0;1.0;0.03;11641.4;145.518;100;100;0;;165.625
80;800;100;0.0;1.0;0.03;12242.3;153.029;99;100;1;;170.078
80;800;100;0.0;1.0;0.03;12984.25;162.303;100;100;2;;174.688
80;800;100;0.0;1.0;0.03;10519.83;131.498;91;100;3;;180.391
80;800;100;0.0;1.0;0.03;12609.33;157.617;100;100;4;;184.766
80;800;100;0.0;1.0;0.03;12555.04;156.938;89;100;5;;189.5
80;800;100;0.0;1.0;0.05;12097.33;151.217;95;100;0;;193.812
80;800;100;0.0;1.0;0.05;11537.11;144.214;89;100;1;;198.656
80;800;100;0.0;1.0;0.05;11521.07;144.013;98;100;2;;203.5
80;800;100;0.0;1.0;0.05;10692.49;133.656;98;100;3;;208.5
80;800;100;0.0;1.0;0.05;11749.03;146.863;94;100;4;;213.438
80;800;100;0.0;1.0;0.05;12617.87;157.723;97;100;5;;218.391
80;800;100;0.0;1.0;0.1;11008.9;137.611;81;100;0;;223.219
80;800;100;0.0;1.0;0.1;11607.25;145.091;93;100;1;;228.094
80;800;100;0.0;1.0;0.1;10970.74;137.134;99;100;2;;233.234
80;800;100;0.0;1.0;0.1;10495.58;131.195;98;100;3;;238.094
80;800;100;0.0;1.0;0.1;10996.57;137.457;91;100;4;;242.984
80;800;100;0.0;1.0;0.1;11947.06;149.338;86;100;5;;247.609
80;800;100;0.0;1.0;1.3;16793.52;209.919;1;100;0;;250.5
80;800;100;0.0;1.0;1.3;15878.11;198.476;1;100;1;;253.688
80;800;100;0.0;1.0;1.3;16810.28;210.129;1;100;2;;256.656
80;800;100;0.0;1.0;1.3;15709.18;196.365;1;100;3;;259.453
